timestamp,scope,raw_rows,root_bilateral_rows,direct_trade_rows,trade_context_rows,matched_rows,status
20170103004500,trade_context,0,0,0,0,0,download_failed
20170103010000,trade_context,0,0,0,0,0,download_failed
20170103011500,trade_context,0,0,0,0,0,download_failed
20170103013000,trade_context,0,0,0,0,0,download_failed
20170103014500,trade_context,0,0,0,0,0,download_failed
20170103020000,trade_context,0,0,0,0,0,download_failed
20170103021500,trade_context,0,0,0,0,0,download_failed
20170103023000,trade_context,0,0,0,0,0,download_failed
20170103024500,trade_context,0,0,0,0,0,download_failed
20170103030000,trade_context,0,0,0,0,0,download_failed
20170103031500,trade_context,0,0,0,0,0,download_failed
20170103033000,trade_context,0,0,0,0,0,download_failed
20170103034500,trade_context,0,0,0,0,0,download_failed
20170103040000,trade_context,0,0,0,0,0,download_failed
20170103041500,trade_context,0,0,0,0,0,download_failed
20170103043000,trade_context,0,0,0,0,0,download_failed
20170103044500,trade_context,0,0,0,0,0,download_failed
20170103050000,trade_context,0,0,0,0,0,download_failed
20170103051500,trade_context,0,0,0,0,0,download_failed
20170103053000,trade_context,0,0,0,0,0,download_failed
20170103054500,trade_context,0,0,0,0,0,download_failed
20170103060000,trade_context,0,0,0,0,0,download_failed
20170103061500,trade_context,0,0,0,0,0,download_failed
20170103063000,trade_context,0,0,0,0,0,download_failed
20170103064500,trade_context,0,0,0,0,0,download_failed
20170103070000,trade_context,0,0,0,0,0,download_failed
20170103071500,trade_context,0,0,0,0,0,download_failed
20170103073000,trade_context,0,0,0,0,0,download_failed
20170103074500,trade_context,0,0,0,0,0,download_failed
20170103080000,trade_context,0,0,0,0,0,download_failed
20170103081500,trade_context,0,0,0,0,0,download_failed
20170103083000,trade_context,0,0,0,0,0,download_failed
20170103084500,trade_context,0,0,0,0,0,download_failed
20170103090000,trade_context,0,0,0,0,0,download_failed
20170103091500,trade_context,0,0,0,0,0,download_failed
20170103093000,trade_context,0,0,0,0,0,download_failed
20170103094500,trade_context,0,0,0,0,0,download_failed
20170103100000,trade_context,0,0,0,0,0,download_failed
20170103101500,trade_context,0,0,0,0,0,download_failed
20170103103000,trade_context,0,0,0,0,0,download_failed
20170103104500,trade_context,0,0,0,0,0,download_failed
20170103110000,trade_context,0,0,0,0,0,download_failed
20170103111500,trade_context,0,0,0,0,0,download_failed
20170103113000,trade_context,0,0,0,0,0,download_failed
20170103114500,trade_context,0,0,0,0,0,download_failed
20170103120000,trade_context,0,0,0,0,0,download_failed
20170103121500,trade_context,0,0,0,0,0,download_failed
20170103123000,trade_context,0,0,0,0,0,download_failed
20170103124500,trade_context,0,0,0,0,0,download_failed
20170103130000,trade_context,0,0,0,0,0,download_failed
20170103131500,trade_context,0,0,0,0,0,download_failed
20170103133000,trade_context,0,0,0,0,0,download_failed
20170103134500,trade_context,0,0,0,0,0,download_failed
20170103140000,trade_context,0,0,0,0,0,download_failed
20170103141500,trade_context,0,0,0,0,0,download_failed
20170103143000,trade_context,0,0,0,0,0,download_failed
20170103144500,trade_context,0,0,0,0,0,download_failed
20170103150000,trade_context,0,0,0,0,0,download_failed
20170103151500,trade_context,0,0,0,0,0,download_failed
20170103153000,trade_context,0,0,0,0,0,download_failed
20170103154500,trade_context,0,0,0,0,0,download_failed
20170103160000,trade_context,0,0,0,0,0,download_failed
20170103161500,trade_context,0,0,0,0,0,download_failed
20170103163000,trade_context,0,0,0,0,0,download_failed
20170103164500,trade_context,0,0,0,0,0,download_failed
20170103170000,trade_context,0,0,0,0,0,download_failed
20170103171500,trade_context,0,0,0,0,0,download_failed
20170103173000,trade_context,0,0,0,0,0,download_failed
20170103174500,trade_context,0,0,0,0,0,download_failed
20170103180000,trade_context,0,0,0,0,0,download_failed
20170103181500,trade_context,0,0,0,0,0,download_failed
20170103183000,trade_context,0,0,0,0,0,download_failed
20170103184500,trade_context,0,0,0,0,0,download_failed
20170103190000,trade_context,0,0,0,0,0,download_failed
20170103191500,trade_context,0,0,0,0,0,download_failed
20170103193000,trade_context,0,0,0,0,0,download_failed
20170103194500,trade_context,0,0,0,0,0,download_failed
20170103200000,trade_context,0,0,0,0,0,download_failed
20170103201500,trade_context,0,0,0,0,0,download_failed
20170103203000,trade_context,0,0,0,0,0,download_failed
20170103204500,trade_context,0,0,0,0,0,download_failed
20170103210000,trade_context,0,0,0,0,0,download_failed
20170103211500,trade_context,0,0,0,0,0,download_failed
20170103213000,trade_context,0,0,0,0,0,download_failed
