seed_count,replicates,CN_mean_squared_distance_to_full,CN_sd_squared_distance_to_full,US_mean_squared_distance_to_full,US_sd_squared_distance_to_full,combined_mean_squared_distance_to_full,combined_sd_squared_distance_to_full,combined_p95_squared_distance_to_full,CN_mean_element_sd,US_mean_element_sd,CN_max_element_sd,US_max_element_sd,sample_mean_matrix_matches_full_reference
200,100,1.686442300000,0.724112260581,2.080222400000,1.589035810707,3.766664700000,1.754385218211,6.547564500000,0.014628453935,0.015565060795,0.031577186177,0.029235848688,False
210,100,1.659270693878,0.952952940039,1.721736362812,1.310035231821,3.381007056689,1.791856345180,6.248673179138,0.014585026589,0.014319875725,0.030953305939,0.028365297793,False
220,100,1.286744297521,0.630716854046,1.554772198347,1.257421839799,2.841516495868,1.481079923635,5.762544066116,0.012920406724,0.013688825959,0.028129932390,0.026457473670,False
230,100,1.338936998110,0.701785333655,1.657677111531,1.253535652889,2.996614109641,1.435721856485,6.006993814745,0.013158634315,0.014003645331,0.027831953433,0.028593495381,False
240,100,1.213812680556,0.671077576944,1.594214388889,1.138285720824,2.808027069444,1.414834276453,5.964888597222,0.012479052259,0.013791536273,0.026015399210,0.025666310013,False
250,100,1.135619840000,0.556852674952,1.290489920000,1.038816679832,2.426109760000,1.190546812308,4.694993600000,0.012070610822,0.012309914457,0.026373417900,0.025896109454,False
260,100,1.081813704142,0.603089933249,1.336911017751,1.166853789885,2.418724721893,1.479013606400,5.468390698225,0.011785066994,0.012311842232,0.024093728232,0.023630880317,False
270,100,0.921379720165,0.446344780325,1.110565673525,1.074177837827,2.031945393690,1.150037650764,3.831449119342,0.011002600913,0.011524245168,0.022374339069,0.022700306847,False
280,100,0.883079887755,0.463462242899,1.100131540816,0.878116579682,1.983211428571,0.982388971349,3.728093020408,0.010599050621,0.011443703234,0.023194880334,0.021836278935,False
290,100,0.822611804994,0.442432778179,0.919075186683,0.615168566194,1.741686991677,0.700610277866,3.190265436385,0.010343882037,0.010458985647,0.022085612843,0.022204607535,False
300,100,0.742532711111,0.390907781976,0.841412755556,0.614085681868,1.583945466667,0.775901735470,2.767402222222,0.009729314607,0.010061615069,0.020730216185,0.019673085753,False
310,100,0.708895117586,0.305885385727,0.900011021852,0.674823157043,1.608906139438,0.770442590377,3.144288732570,0.009577136272,0.010333148237,0.020437926168,0.020284893189,False
320,100,0.644642226563,0.353191748941,0.920217179687,0.692026771055,1.564859406250,0.789817792161,3.083827664062,0.008991841406,0.010368150230,0.018920182017,0.020493343185,False
330,100,0.573283496786,0.333101280098,0.798960242424,0.723283317882,1.372243739210,0.832049502628,3.408599162534,0.008632384055,0.009588488639,0.017904113257,0.018485852035,False
340,100,0.510613266436,0.271771368048,0.773341148789,0.603320306998,1.283954415225,0.627400029073,2.337766705882,0.008159911012,0.009572233825,0.017330569585,0.018467059735,False
350,100,0.491349485714,0.219653303379,0.636380016327,0.481508761924,1.127729502041,0.488014907056,1.940811918367,0.007957917247,0.008546974331,0.017027485753,0.017128685821,False
360,100,0.413156290123,0.223999220781,0.512935481481,0.385519051642,0.926091771605,0.443981183983,1.538644160494,0.007213971503,0.007764935359,0.015631428719,0.015656438941,False
370,100,0.370409139518,0.189435552475,0.499351672754,0.392451235256,0.869760812272,0.446814977470,1.689550188459,0.006928379185,0.007724990232,0.014785233309,0.014968763052,False
380,100,0.355691767313,0.208485058521,0.428649490305,0.348358320172,0.784341257618,0.431601474320,1.671263246537,0.006768373153,0.007112274474,0.014991230170,0.013669582825,False
390,100,0.299459050625,0.129750799876,0.351038416831,0.243386013571,0.650497467456,0.263116459500,1.111953683103,0.006206727601,0.006447276176,0.013537672742,0.012840155892,False
400,100,0.282127400000,0.146325355986,0.388100025000,0.312347858674,0.670227425000,0.363052703475,1.411841750000,0.005986902996,0.006747449309,0.012862398216,0.013116874589,False
410,100,0.254267150506,0.148496894129,0.326490127305,0.286581993807,0.580757277811,0.320851575634,1.176153998810,0.005741300323,0.006173187132,0.011719833992,0.012192066629,False
420,100,0.200352566893,0.101353005690,0.246486825397,0.163606164658,0.446839392290,0.204418794984,0.801692702948,0.005060220594,0.005425263594,0.010768900407,0.011153701099,False
430,100,0.177861217956,0.094533411296,0.213979110871,0.144037510414,0.391840328826,0.176115569545,0.695122102758,0.004816779001,0.005032018760,0.009589643200,0.009547480178,False
440,100,0.153394198347,0.078205089136,0.188582099174,0.209352956000,0.341976297521,0.222603980428,0.630873342975,0.004444554069,0.004719184142,0.009446969973,0.009586225187,False
450,100,0.129710419753,0.065847522646,0.154355871605,0.121202018655,0.284066291358,0.135886465282,0.551189333333,0.004112091368,0.004285201696,0.009053360540,0.008341028994,False
460,100,0.093873240076,0.042900408090,0.116031391304,0.081132538920,0.209904631380,0.095046009704,0.393970166352,0.003490899893,0.003712711570,0.007843968981,0.007384035021,False
470,100,0.077206091444,0.037974910933,0.083982931643,0.054645131339,0.161189023087,0.065845549747,0.297769292893,0.003110321863,0.003149472515,0.006766742720,0.006517530194,False
480,100,0.044954892361,0.023026364835,0.058978631944,0.040198029838,0.103933524306,0.045905876722,0.197868284722,0.002419331184,0.002646867784,0.005104993319,0.005185387164,False
490,100,0.025671097043,0.018111454018,0.026741064556,0.020208393588,0.052412161599,0.028851512836,0.117366443982,0.001818696199,0.001782968914,0.003697668752,0.003593754759,False
500,100,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,True
