seed_count,replicates,CN_mean,CN_p05,CN_p95,US_mean,US_p05,US_p95,combined_mean,combined_p05,combined_p95
170,100,2.3257992525951554,0.9807803183391003,4.28122156401384,2.5647468512110727,0.8071271141868512,7.371612373702421,4.890546103806228,2.2406967750865054,11.522013591695503
180,100,2.156329851851852,0.9990540493827158,4.484646888888889,2.4231006419753087,0.7852462222222221,5.2204890617283946,4.57943049382716,2.0769261975308644,8.294733975308642
190,100,1.8653253407202217,0.8364727091412741,4.07370772299169,2.23842823268698,0.7574768531855957,7.052544664819944,4.103753573407203,1.924410836565097,8.180121196675898
200,100,1.6864423000000002,0.75751,3.048426,2.0802224,0.6877125000000001,4.393628999999999,3.7666647000000006,1.7507879999999998,6.5475645
210,100,1.6592706938775508,0.7249167528344671,3.341213986394558,1.7217363628117914,0.5763224126984127,3.9405909841269784,3.3810070566893433,1.70738946031746,6.24867317913832
220,100,1.286744297520661,0.6863946942148759,2.4972192396694215,1.5547721983471074,0.5576256528925618,4.068927553719008,2.8415164958677686,1.5175512561983473,5.7625440661157
230,100,1.338936998109641,0.5990865633270323,2.644631364839319,1.6576771115311906,0.5671488393194708,4.0204436597353475,2.996614109640832,1.4096602041587902,6.006993814744801
240,100,1.2138126805555556,0.4842593194444445,2.544577722222222,1.5942143888888887,0.5348318472222221,4.377593722222222,2.808027069444444,1.1890092222222222,5.964888597222223
250,100,1.1356198400000002,0.4903552,2.1921104,1.29048992,0.40322239999999987,3.2141871999999982,2.42610976,1.1354528,4.694993599999998
260,100,1.081813704142012,0.5046244497041421,2.405906816568047,1.3369110177514794,0.39786500591715984,3.3762751242603524,2.4187247218934913,1.0945504615384614,5.468390698224852
270,100,0.9213797201646091,0.42757650480109743,1.7037983429355277,1.1105656735253775,0.39251579698216715,2.6664888010973935,2.0319453936899863,0.9642839067215365,3.831449119341563
280,100,0.8830798877551022,0.3870115204081632,1.7991119795918364,1.1001315408163266,0.36867399999999995,2.6956319081632643,1.9832114285714286,0.929386387755102,3.7280930204081635
290,100,0.8226118049940547,0.39488604994054693,1.6628567039239002,0.9190751866825209,0.29597130083234247,2.1062709441141485,1.7416869916765754,0.8386795148632581,3.190265436385256
300,100,0.7425327111111111,0.33402777777777765,1.414731777777778,0.8414127555555555,0.30919866666666657,2.098306888888889,1.5839454666666666,0.8042442222222224,2.7674022222222217
310,100,0.708895117585848,0.350265273673257,1.2258423392299687,0.9000110218522375,0.24673580020811656,2.1767599001040576,1.6089061394380857,0.7805937481789802,3.144288732570239
320,100,0.6446422265625,0.3210085078125001,1.4370446796874996,0.9202171796874998,0.25479091406249993,2.1687110703124994,1.5648594062499999,0.692481609375,3.083827664062498
330,100,0.5732834967860423,0.24700223324150597,1.182483849403122,0.7989602424242424,0.25407821487603305,2.3714634857667587,1.3722437392102844,0.5668720367309458,3.408599162534435
340,100,0.5106132664359861,0.24060609688581328,1.1473498685121106,0.7733411487889273,0.22315455363321784,1.9130426851211069,1.2839544152249138,0.5633913771626299,2.337766705882353
350,100,0.49134948571428566,0.22414187755102033,0.8894083265306121,0.6363800163265306,0.21071167346938768,1.4813469387755096,1.127729502040816,0.5356754285714288,1.940811918367347
360,100,0.41315629012345684,0.20153799999999988,0.8229865802469134,0.5129354814814814,0.15872501851851847,1.0973463765432097,0.9260917716049382,0.4723981419753086,1.538644160493827
370,100,0.3704091395178961,0.18799806574141706,0.7040917983929876,0.49935167275383496,0.17257938349159987,1.4182693177501817,0.8697608122717313,0.42992950182615053,1.689550188458728
380,100,0.3556917673130194,0.14739993905817178,0.7573088587257617,0.42864949030470906,0.15689164542936285,1.232566770083102,0.7843412576177283,0.3863498116343489,1.671263246537396
390,100,0.29945905062458905,0.1435518001314924,0.5674665404339251,0.3510384168310322,0.13302155424063114,0.7498709428007887,0.6504974674556214,0.3451873714661406,1.1119536831032213
400,100,0.2821274,0.1345742500000001,0.48595962499999995,0.38810002499999996,0.107866625,1.1346208749999998,0.6702274250000001,0.2980980000000001,1.4118417499999996
410,100,0.2542671505056514,0.11782263414634138,0.5369393503866744,0.3264901273051754,0.10651589767995236,0.9995509720404521,0.5807572778108268,0.27411271386079716,1.1761539988102316
420,100,0.20035256689342404,0.10286013151927445,0.41954457596371875,0.24648682539682532,0.08784928344671197,0.5903873560090701,0.44683939229024944,0.21769351927437636,0.8016927029478459
430,100,0.17786121795565166,0.08616122877230935,0.36999019578150344,0.21397911087074092,0.0685053196322336,0.4956070611141157,0.3918403288263926,0.19803773282855583,0.6951221027582476
440,100,0.15339419834710744,0.07232333057851233,0.3414727933884296,0.18858209917355365,0.06022461983471074,0.5470820371900822,0.3419762975206611,0.15626032644628093,0.6308733429752061
450,100,0.1297104197530864,0.06130241975308636,0.2688133333333333,0.15435587160493822,0.0481737283950617,0.4198499753086419,0.28406629135802464,0.1476431604938271,0.5511893333333334
460,100,0.0938732400756143,0.044882177693761745,0.19488688468809062,0.11603139130434778,0.03936503969754248,0.28397931190926273,0.20990463137996215,0.10251126275992437,0.3939701663516066
470,100,0.07720609144409231,0.033779045722046076,0.15250013218650973,0.08398293164327746,0.02896969488456309,0.1904385767315526,0.16118902308736982,0.07905499683114538,0.2977692928927116
480,100,0.04495489236111107,0.020112218749999935,0.08008044791666664,0.058978631944444394,0.017643531249999976,0.1330175937499999,0.10393352430555554,0.04820470833333329,0.19786828472222218
490,100,0.025671097042898747,0.011304476468138236,0.06435620491461877,0.02674106455643478,0.008401859225322756,0.07803897709287792,0.052412161599333575,0.023904236568096555,0.1173664439816743
500,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
