EventBaseCode,EventRootCode,mapping_level,is_direct_trade,domain,weight
050,5,root_fallback,False,diplomacy,1.0
050,5,root_fallback,False,economy,0.0
050,5,root_fallback,False,law,0.0
050,5,root_fallback,False,politics,0.0
050,5,root_fallback,False,security,0.0
050,5,root_fallback,False,society_humanitarian,0.0
051,5,root_fallback,False,diplomacy,1.0
051,5,root_fallback,False,economy,0.0
051,5,root_fallback,False,law,0.0
051,5,root_fallback,False,politics,0.0
051,5,root_fallback,False,security,0.0
051,5,root_fallback,False,society_humanitarian,0.0
052,5,root_fallback,False,diplomacy,1.0
052,5,root_fallback,False,economy,0.0
052,5,root_fallback,False,law,0.0
052,5,root_fallback,False,politics,0.0
052,5,root_fallback,False,security,0.0
052,5,root_fallback,False,society_humanitarian,0.0
053,5,root_fallback,False,diplomacy,1.0
053,5,root_fallback,False,economy,0.0
053,5,root_fallback,False,law,0.0
053,5,root_fallback,False,politics,0.0
053,5,root_fallback,False,security,0.0
053,5,root_fallback,False,society_humanitarian,0.0
054,5,root_fallback,False,diplomacy,1.0
054,5,root_fallback,False,economy,0.0
054,5,root_fallback,False,law,0.0
054,5,root_fallback,False,politics,0.0
054,5,root_fallback,False,security,0.0
054,5,root_fallback,False,society_humanitarian,0.0
055,5,root_fallback,False,diplomacy,1.0
055,5,root_fallback,False,economy,0.0
055,5,root_fallback,False,law,0.0
055,5,root_fallback,False,politics,0.0
055,5,root_fallback,False,security,0.0
055,5,root_fallback,False,society_humanitarian,0.0
056,5,root_fallback,False,diplomacy,1.0
056,5,root_fallback,False,economy,0.0
056,5,root_fallback,False,law,0.0
056,5,root_fallback,False,politics,0.0
056,5,root_fallback,False,security,0.0
056,5,root_fallback,False,society_humanitarian,0.0
057,5,root_fallback,False,diplomacy,1.0
057,5,root_fallback,False,economy,0.0
057,5,root_fallback,False,law,0.0
057,5,root_fallback,False,politics,0.0
057,5,root_fallback,False,security,0.0
057,5,root_fallback,False,society_humanitarian,0.0
060,6,root_fallback,False,diplomacy,0.2
060,6,root_fallback,False,economy,0.6
060,6,root_fallback,False,law,0.0
060,6,root_fallback,False,politics,0.0
060,6,root_fallback,False,security,0.0
060,6,root_fallback,False,society_humanitarian,0.2
061,6,base_override,True,diplomacy,0.15
061,6,base_override,True,economy,0.8
061,6,base_override,True,law,0.0
061,6,base_override,True,politics,0.05
061,6,base_override,True,security,0.0
061,6,base_override,True,society_humanitarian,0.0
062,6,base_override,False,diplomacy,0.15
062,6,base_override,False,economy,0.0
062,6,base_override,False,law,0.0
062,6,base_override,False,politics,0.05
062,6,base_override,False,security,0.8
062,6,base_override,False,society_humanitarian,0.0
063,6,base_override,False,diplomacy,0.15
063,6,base_override,False,economy,0.0
063,6,base_override,False,law,0.75
063,6,base_override,False,politics,0.1
063,6,base_override,False,security,0.0
063,6,base_override,False,society_humanitarian,0.0
064,6,base_override,False,diplomacy,0.15
064,6,base_override,False,economy,0.0
064,6,base_override,False,law,0.0
064,6,base_override,False,politics,0.1
064,6,base_override,False,security,0.75
064,6,base_override,False,society_humanitarian,0.0
070,7,root_fallback,False,diplomacy,0.1
070,7,root_fallback,False,economy,0.2
070,7,root_fallback,False,law,0.0
070,7,root_fallback,False,politics,0.0
070,7,root_fallback,False,security,0.0
070,7,root_fallback,False,society_humanitarian,0.7
071,7,base_override,True,diplomacy,0.1
071,7,base_override,True,economy,0.75
071,7,base_override,True,law,0.0
071,7,base_override,True,politics,0.0
071,7,base_override,True,security,0.0
071,7,base_override,True,society_humanitarian,0.15
072,7,base_override,False,diplomacy,0.1
072,7,base_override,False,economy,0.1
072,7,base_override,False,law,0.0
072,7,base_override,False,politics,0.0
072,7,base_override,False,security,0.8
072,7,base_override,False,society_humanitarian,0.0
073,7,base_override,False,diplomacy,0.1
073,7,base_override,False,economy,0.1
073,7,base_override,False,law,0.0
073,7,base_override,False,politics,0.0
073,7,base_override,False,security,0.0
073,7,base_override,False,society_humanitarian,0.8
074,7,base_override,False,diplomacy,0.15
074,7,base_override,False,economy,0.0
074,7,base_override,False,law,0.25
074,7,base_override,False,politics,0.1
074,7,base_override,False,security,0.0
074,7,base_override,False,society_humanitarian,0.5
075,7,base_override,False,diplomacy,0.15
075,7,base_override,False,economy,0.0
075,7,base_override,False,law,0.0
075,7,base_override,False,politics,0.0
075,7,base_override,False,security,0.25
075,7,base_override,False,society_humanitarian,0.6
080,8,root_fallback,False,diplomacy,0.5
080,8,root_fallback,False,economy,0.0
080,8,root_fallback,False,law,0.0
080,8,root_fallback,False,politics,0.3
080,8,root_fallback,False,security,0.2
080,8,root_fallback,False,society_humanitarian,0.0
081,8,base_override,False,diplomacy,0.2
081,8,base_override,False,economy,0.0
081,8,base_override,False,law,0.2
081,8,base_override,False,politics,0.6
081,8,base_override,False,security,0.0
081,8,base_override,False,society_humanitarian,0.0
082,8,root_fallback,False,diplomacy,0.5
082,8,root_fallback,False,economy,0.0
082,8,root_fallback,False,law,0.0
082,8,root_fallback,False,politics,0.3
082,8,root_fallback,False,security,0.2
082,8,root_fallback,False,society_humanitarian,0.0
083,8,root_fallback,False,diplomacy,0.5
083,8,root_fallback,False,economy,0.0
083,8,root_fallback,False,law,0.0
083,8,root_fallback,False,politics,0.3
083,8,root_fallback,False,security,0.2
083,8,root_fallback,False,society_humanitarian,0.0
084,8,root_fallback,False,diplomacy,0.5
084,8,root_fallback,False,economy,0.0
084,8,root_fallback,False,law,0.0
084,8,root_fallback,False,politics,0.3
