month,CN_diplomacy_shock,CN_economy_shock,CN_law_shock,CN_politics_shock,CN_security_shock,CN_society_humanitarian_shock,US_diplomacy_shock,US_economy_shock,US_law_shock,US_politics_shock,US_security_shock,US_society_humanitarian_shock
201711,2.251060146661046,2.4067168642125574,-0.5666260115592321,0.1467557855049866,-0.8422166252462131,1.441978570629989,2.3879664117322266,2.4439078961882297,-0.5309473438727664,0.4529405187878602,-0.847497196095362,1.0267573239538854
201712,1.5296403046399918,2.2979327476963043,-0.575801824455669,0.2840864864978996,-0.432566592980923,1.3341465508873527,1.7129891201400422,2.4374228636753834,-0.7318953690527595,0.002765957876217669,-0.6716079762716148,1.2641443355534063
201801,1.544747050963773,1.8015300083172636,-0.9869867408747877,-0.2544167396036118,-0.8436657346535732,1.2715504671321483,1.570967314621799,1.6122416534267532,-1.0211385772373849,-0.40264771988293446,-0.9896077966598334,1.0653119826754078
201802,1.8246487086238683,2.0882308660075886,-0.885026922852912,-0.07707983195198632,-0.8537392079353378,0.77904121224134,1.8189712095248032,2.362513567629223,-0.5955942372436864,0.3659482643107937,-0.318143677925144,1.2245528217608836
201803,1.756955401820837,2.770585636907737,-0.4339387235266915,0.4991627930654244,-0.24057408641109493,1.0657198688326246,1.9116541552808628,2.855543371583074,-0.6292796090984069,0.741946702605098,-0.8690535094088572,1.122912675370251
201804,2.1383358492555686,3.008503403895074,-1.2508658761016727,0.18802410440914322,-0.897299724534892,1.1727869450533805,2.1475705082231205,3.105704309690424,-0.7266915587777777,0.5928602461035688,-0.6082859666008269,1.3314989986855448
201805,1.6562279253049423,2.5791765951754373,-1.0154346313450564,-0.03266442049303882,-1.1336491602722476,1.022252428220589,1.66065223912142,2.395595643260356,-1.1135435592890424,-0.25987895969408437,-1.3236919421076776,0.7585359627363665
201806,1.7519640643653094,2.808955163115286,-0.9158093260977105,0.1701003839159674,-1.0694045455200667,0.9896197931515118,1.8122933192501673,2.691600304196722,-0.6667582737646854,0.5485053934319327,-0.7546475417802755,1.031144200490311
201807,1.7154952117485596,3.0922795745313025,-0.8624541429920339,0.17799185560571096,-0.295445575932712,1.549694245492305,1.583985636181018,2.7727916291314947,-1.219062709749203,-0.13652935231657223,-0.6016372978942245,1.3407101504202277
201808,1.3536720971046974,2.336600627026874,-1.1840597324831146,-0.4434471835325256,-0.8835152848210867,1.583129728277918,1.609629814639854,2.5317171440696113,-1.0433565133084342,0.0054595417184465445,-0.8901050544552542,1.0873628020351958
201809,1.5394391366576714,1.905022632740034,-1.0453908197890018,-0.39856144678303507,-0.9812083403819839,0.9792129354238539,1.5041745608073982,1.9426354491123292,-1.0544943402559994,-0.18154208981787387,-0.984019633859927,1.0457159573140584
201810,1.5463494756533627,1.8296029841013781,-0.9061404791275557,-0.4416279267166646,-0.9994457760836764,1.3852151522503906,1.5901174499990323,2.5656170458834144,-0.7472506620421884,0.1739971548894319,-0.8588468531615364,0.8718518631051887
201811,1.6196744294411,2.4634420766896605,-0.9330605052957048,-0.1831756118074447,-1.1310746478440497,1.3770828850927215,1.5295460755507162,2.7412784364993037,-0.7961209770795212,0.3120174900445334,-0.668294948964964,1.0863878653186743
201812,1.2922890533597464,1.7715613978594866,-1.1205942739677381,-0.41686967241702794,-0.9130012803517525,1.0556527616729237,1.5697502453069148,2.343981325767699,-1.3056595081613622,-0.4285996992512269,-1.1771291320614543,1.1836183706341692
201901,1.0597397494545668,2.400074347195907,-1.061190637713436,-0.427088334748146,-1.0545393367329972,1.0392951617373036,1.2111386849726702,2.345353517923075,-0.7376652029050985,-0.20084561858954583,-0.9252063156236957,1.206375590188681
201902,1.4595743768167575,2.3525621674140784,-0.8387841882178448,0.1692176543029076,-0.5341171383695619,1.028167136305405,1.4661552719442814,2.500690722011762,-0.35566094602552684,0.5442870995626974,-0.16626123586713257,0.8882470701390849
201903,1.3026835626519055,2.192487340147961,-1.1649388168931307,-0.41835027312623996,-1.2905864098206252,1.575345896701259,0.9473510404900419,1.7803112941754644,-1.038176757502326,-0.5020427793205323,-1.0419514306453246,0.540628172979083
