month,country,domain,data_status,preference_update_impact,weekly_variation,weekly_peak,weekly_recent
201710,US,security,observed,-0.4991773699093974,3.104887778823022,0.7074604724536829,-0.35891989657515844
201710,US,society_humanitarian,observed,0.9539376054910521,0.9017390311957525,0.6223515650988889,0.23954026164440792
201711,CN,diplomacy,observed,2.251060146661046,2.6709395208566282,2.0052572951240477,0.8979679071531892
201711,CN,economy,observed,2.4067168642125574,2.5839670150228633,2.053719383334671,1.488713084858426
201711,CN,law,observed,-0.5666260115592321,0.48160897846420625,0.46314425222593714,-0.31949981635524044
201711,CN,politics,observed,0.1467557855049866,0.8237462139558225,0.24018063960751043,0.01572443919926612
201711,CN,security,observed,-0.8422166252462131,0.5200826160068623,0.4571759548947284,-0.4229050435196841
201711,CN,society_humanitarian,observed,1.441978570629989,1.161553163441754,0.9565101126332591,0.4898189444776607
201711,US,diplomacy,observed,2.3879664117322266,2.902396687334793,2.0677103090931634,1.078957700273844
201711,US,economy,observed,2.4439078961882297,2.7424338999185753,2.034265213160853,1.378728695729075
201711,US,law,observed,-0.5309473438727664,0.7450080805526074,0.4807692912632204,-0.2929870764369085
201711,US,politics,observed,0.4529405187878602,1.383156644693317,0.5300338823299863,0.38958529071202613
201711,US,security,observed,-0.847497196095362,1.4252435329183175,0.7020975878383585,0.09073505740756228
201711,US,society_humanitarian,observed,1.0267573239538854,0.6127905091438713,0.5151731721892834,0.23264154616841085
201712,CN,diplomacy,observed,1.5296403046399918,0.5027651530851797,1.0887503166177688,0.8589754333722622
201712,CN,economy,observed,2.2979327476963043,2.0296458303092253,1.7875390654190348,1.3674759008161337
201712,CN,law,observed,-0.575801824455669,1.0820535533063724,0.4971586392022709,-0.4491578200049466
201712,CN,politics,observed,0.2840864864978996,0.6040999007048327,0.34717750360802097,0.027976414817552
201712,CN,security,observed,-0.432566592980923,1.3804329484834512,0.4729667708687663,-0.0764932603034638
201712,CN,society_humanitarian,observed,1.3341465508873527,1.2463611007762583,0.8813701328521243,0.4812024008567205
201712,US,diplomacy,observed,1.7129891201400422,1.3058613986765524,1.326578462586636,0.4159977052087138
201712,US,economy,observed,2.4374228636753834,2.16381178501604,2.0900745465237804,1.0355023649191675
201712,US,law,observed,-0.7318953690527595,0.4706335870634946,0.513244216257559,-0.3964385259712472
201712,US,politics,observed,0.002765957876217669,1.365027046622634,0.4193995446202915,-0.12812906965156481
201712,US,security,observed,-0.6716079762716148,1.0125557128431273,0.6404716681029795,-0.20988579855000541
201712,US,society_humanitarian,observed,1.2641443355534063,0.8895636225388496,0.7327790247010022,0.28445188695861456
201801,CN,diplomacy,observed,1.544747050963773,1.5549556158595057,1.3985059968092701,0.8531582558413423
201801,CN,economy,observed,1.8015300083172636,2.373321602416075,1.6278058980165193,0.4708266678269139
201801,CN,law,observed,-0.9869867408747877,0.7937014746298007,0.7025033273583308,-0.5396655994480637
201801,CN,politics,observed,-0.2544167396036118,0.5736465567498157,0.2590946501169798,-0.2590946501169798
201801,CN,security,observed,-0.8436657346535732,1.0202221768950426,0.6047793170040361,-0.6047793170040361
201801,CN,society_humanitarian,observed,1.2715504671321483,0.8877101253605784,0.7179388435374849,0.44474372435677406
201801,US,diplomacy,observed,1.570967314621799,1.1572394451654096,1.2785384767358612,1.1017281695118013
201801,US,economy,observed,1.6122416534267532,3.2127507932801667,1.4127028411664986,1.4127028411664986
201801,US,law,observed,-1.0211385772373849,0.3855822408078399,0.6774634285624085,-0.6721198245186106
201801,US,politics,observed,-0.40264771988293446,0.9932720799182191,0.40122950855321937,0.0734643982960957
201801,US,security,observed,-0.9896077966598334,0.7481932504269565,0.6810675842874722,-0.587981000813681
201801,US,society_humanitarian,observed,1.0653119826754078,1.2396722232277737,0.7473445100298489,0.25501679683192396
201802,CN,diplomacy,observed,1.8246487086238683,2.3670223136981368,1.4118272567912473,1.4118272567912473
201802,CN,economy,observed,2.0882308660075886,2.0632038810901667,1.6009043079314944,1.1386047347728219
201802,CN,law,observed,-0.885026922852912,1.0564318073721513,0.6662566051477871,-0.6662566051477871
201802,CN,politics,observed,-0.07707983195198632,0.945980598766798,0.2811274093970647,-0.12643914500964823
201802,CN,security,observed,-0.8537392079353378,0.5087790092325493,0.4635272433613332,-0.4635272433613332
201802,CN,society_humanitarian,observed,0.77904121224134,0.4610553628876625,0.4082102877572804,0.3553652126268983
201802,US,diplomacy,observed,1.8189712095248032,2.7596752902148682,1.5472522383301728,1.5472522383301728
201802,US,economy,observed,2.362513567629223,2.849065548504146,2.059474464454387,1.2698833804046283
201802,US,law,observed,-0.5955942372436864,1.578917384197473,0.6857037984040971,-0.04275401430303984
201802,US,politics,observed,0.3659482643107937,2.8418604116591077,0.7268813724988306,0.7268813724988306
201802,US,security,observed,-0.318143677925144,2.2039885653328977,0.49927539451142633,0.2816264588755081
201802,US,society_humanitarian,observed,1.2245528217608836,0.9456360401230258,0.7226799662670506,0.4997238924110754
